Date,AAPL,^GSPC
2021-06-29,136.3300018310547,4291.7998046875
2021-06-30,136.9600067138672,4297.5
2021-07-01,137.27000427246094,4319.93994140625
2021-07-02,139.9600067138672,4352.33984375
2021-07-06,142.02000427246094,4343.5400390625
2021-07-07,144.57000732421875,4358.1298828125
2021-07-08,143.24000549316406,4320.81982421875
2021-07-09,145.11000061035156,4369.5498046875
2021-07-12,144.5,4384.6298828125
2021-07-13,145.63999938964844,4369.2099609375
2021-07-14,149.14999389648438,4374.2998046875
2021-07-15,148.47999572753906,4360.02978515625
2021-07-16,146.38999938964844,4327.16015625
2021-07-19,142.4499969482422,4258.490234375
2021-07-20,146.14999389648438,4323.06005859375
2021-07-21,145.39999389648438,4358.68994140625
2021-07-22,146.8000030517578,4367.47998046875
2021-07-23,148.55999755859375,4411.7900390625
